Infrastructure Type,Infrastructure Name,Road Location,Two Way Travel,Length,ID,Location
Multiuse path (unpaved),,Off Road,true,71,W2778,"MULTILINESTRING ((-97.13665176555496 49.87013580689388, -97.13666199269554 49.870144308765546, -97.1367055966021 49.87017232803031, -97.13677469212581 49.8701985293627, -97.13687530305322 49.870239492719065, -97.13694195404385 49.87027525383465, -97.13699726690118 49.87031282746152, -97.13704010566353 49.870360994825504, -97.13705980379953 49.87041373943024, -97.13706946414457 49.87045586095974, -97.13708839161528 49.8704867874421, -97.13714397091984 49.870527817267735, -97.13723266102701 49.87056637785374, -97.13728993498566 49.87058898489685))"
Multiuse path (unpaved),,Off Road,true,23,W200750,"MULTILINESTRING ((-97.13728993498566 49.87058898489685, -97.1375333400015 49.87067827949332, -97.13756091927682 49.87069219417632))"
Multiuse path,Dakota/Dunkirk Pathway,Off Road,true,56,W16595,"MULTILINESTRING ((-97.1165906680456 49.845239202873316, -97.11657834723724 49.845216350245195, -97.11654446318822 49.84513415632703, -97.11651375423712 49.84505144281379, -97.11647110629572 49.84489118089817, -97.1164626334555 49.84485529302081, -97.11645607002859 49.84481923738589, -97.11645142684472 49.84478305734634, -97.11644870639277 49.844746796119395))"
Spur route,Near Grassie Bv,Off Road,true,78,W114528,"MULTILINESTRING ((-97.05590085467617 49.92272322363769, -97.05547963399842 49.92290959099021, -97.05542464068179 49.922936154798535, -97.0550089345341 49.92312097494643))"
Multiuse path,Near Taylor Av,Off Road,true,7,W213386,"MULTILINESTRING ((-97.1785632843355 49.85122221084108, -97.17860855623375 49.851232325504284, -97.17865708617386 49.85123305636656))"
Multiuse path,Niakwa Trail,Off Road,true,23,W110373,"MULTILINESTRING ((-97.0787717958292 49.85630442473192, -97.07877160364254 49.85609756691769))"
Multiuse path,Near Aldgate Rd,Off Road,true,6,W95627,"MULTILINESTRING ((-97.09543933539646 49.803134570555905, -97.09549395028347 49.80317948291551))"
Multiuse path,Near Grant Av,Off Road,true,9,W212957,"MULTILINESTRING ((-97.26724141677568 49.85938507586579, -97.2671464549326 49.85944221507848))"
Multiuse path,Near Grant Av,Off Road,true,4,W212956,"MULTILINESTRING ((-97.26729430742945 49.859386027538356, -97.26724141677568 49.85938507586579))"
Spur route,Near MacAulay Cr,Off Road,true,71,W23942,"MULTILINESTRING ((-97.0731017428844 49.93793766209313, -97.07222193379538 49.937646127576826))"
Multiuse path,Northeast Pioneers Greenway,Off Road,true,18,W210499,"MULTILINESTRING ((-97.07859943733837 49.92363117284385, -97.07840511566044 49.92352301418957))"
